Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,10.06,0.27,0.34,0.45,0.80
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,11.07,0.27,0.34,0.45,0.83
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,12.15,0.27,0.34,0.45,0.83
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,13.10,0.27,0.34,0.45,0.86
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,14.11,0.27,0.34,0.45,0.87
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,15.24,0.27,0.34,0.45,0.88
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,16.19,0.27,0.34,0.45,0.93
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,17.33,0.27,0.34,0.45,0.97
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,18.10,0.27,0.34,0.45,1.00
81,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.32,92.17,0.00,130.08,65.72,5.00,-0.80,19.23,0.27,0.34,0.45,1.00
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,0.00,0.07,0.12,0.22,0.00
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,0.33,0.07,0.12,0.22,0.08
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,1.04,0.07,0.12,0.22,0.27
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,7.08,0.07,0.12,0.22,0.61
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,8.09,0.07,0.12,0.22,0.63
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,9.04,0.07,0.12,0.22,0.67
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,10.11,0.07,0.12,0.22,0.69
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,12.08,0.07,0.12,0.22,0.74
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,16.12,0.07,0.12,0.22,0.82
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,17.26,0.07,0.12,0.22,0.85
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,18.15,0.07,0.12,0.22,0.88
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,19.23,0.07,0.12,0.22,0.93
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,20.11,0.07,0.12,0.22,0.97
82,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.27,117.88,0.00,130.08,65.72,5.00,-0.80,21.13,0.07,0.12,0.22,1.00
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,0.00,0.09,0.16,0.28,0.00
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,0.20,0.09,0.16,0.28,0.05
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,0.33,0.09,0.16,0.28,0.14
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,1.11,0.09,0.16,0.28,0.30
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,2.07,0.09,0.16,0.28,0.44
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,3.15,0.09,0.16,0.28,0.51
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,4.11,0.09,0.16,0.28,0.56
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,4.99,0.09,0.16,0.28,0.58
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,6.07,0.09,0.16,0.28,0.62
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,7.08,0.09,0.16,0.28,0.63
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,8.09,0.09,0.16,0.28,0.65
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,9.04,0.09,0.16,0.28,0.70
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,10.12,0.09,0.16,0.28,0.72
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,11.07,0.09,0.16,0.28,0.76
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,12.08,0.09,0.16,0.28,0.76
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,13.09,0.09,0.16,0.28,0.79
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,14.17,0.09,0.16,0.28,0.81
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,15.18,0.09,0.16,0.28,0.82
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,16.06,0.09,0.16,0.28,0.85
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,17.27,0.09,0.16,0.28,0.89
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,18.09,0.09,0.16,0.28,0.91
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,19.17,0.09,0.16,0.28,0.96
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,20.05,0.09,0.16,0.28,1.00
83,5-FU-PLGA,1.00,104000.00,0.00,282.50,7.76,0.80,0.24,152.67,0.00,130.08,65.72,5.00,-0.80,21.06,0.09,0.16,0.28,1.01
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,0.00,0.07,0.13,0.22,0.00
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,0.13,0.07,0.13,0.22,0.03
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,0.26,0.07,0.13,0.22,0.07
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,0.39,0.07,0.13,0.22,0.10
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,1.17,0.07,0.13,0.22,0.24
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,2.13,0.07,0.13,0.22,0.37
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,3.14,0.07,0.13,0.22,0.43
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,3.97,0.07,0.13,0.22,0.46
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,5.04,0.07,0.13,0.22,0.50
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,6.12,0.07,0.13,0.22,0.55
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,7.13,0.07,0.13,0.22,0.54
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,8.02,0.07,0.13,0.22,0.57
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,9.16,0.07,0.13,0.22,0.63
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,10.05,0.07,0.13,0.22,0.66
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,11.06,0.07,0.13,0.22,0.69
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,12.14,0.07,0.13,0.22,0.73
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,13.02,0.07,0.13,0.22,0.75
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,14.16,0.07,0.13,0.22,0.78
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,15.17,0.07,0.13,0.22,0.80
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,16.12,0.07,0.13,0.22,0.83
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,17.26,0.07,0.13,0.22,0.87
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,18.15,0.07,0.13,0.22,0.90
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,19.23,0.07,0.13,0.22,0.95
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,20.18,0.07,0.13,0.22,0.98
84,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.18,210.53,0.00,130.08,65.72,5.00,-0.80,21.13,0.07,0.13,0.22,1.00
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,0.00,0.11,0.19,0.33,0.00
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,0.07,0.11,0.19,0.33,0.05
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,0.40,0.11,0.19,0.33,0.16
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,0.99,0.11,0.19,0.33,0.33
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,2.08,0.11,0.19,0.33,0.51
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,3.04,0.11,0.19,0.33,0.60
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,4.12,0.11,0.19,0.33,0.65
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,5.13,0.11,0.19,0.33,0.69
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,6.14,0.11,0.19,0.33,0.72
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,7.09,0.11,0.19,0.33,0.74
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,8.04,0.11,0.19,0.33,0.75
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,9.12,0.11,0.19,0.33,0.79
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,10.13,0.11,0.19,0.33,0.80
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,11.08,0.11,0.19,0.33,0.82
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,12.15,0.11,0.19,0.33,0.83
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,13.10,0.11,0.19,0.33,0.85
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,14.11,0.11,0.19,0.33,0.87
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,15.18,0.11,0.19,0.33,0.89
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,16.13,0.11,0.19,0.33,0.90
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,17.33,0.11,0.19,0.33,0.94
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,18.16,0.11,0.19,0.33,0.97
85,5-FU-PLGA,1.00,104000.00,0.00,282.50,8.02,0.80,0.26,127.39,0.00,130.08,65.72,5.00,-0.80,19.17,0.11,0.19,0.33,1.00
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.00,0.20,0.38,0.66,0.00
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.24,0.20,0.38,0.66,0.10
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.31,0.20,0.38,0.66,0.31
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.55,0.20,0.38,0.66,0.42
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,1.45,0.20,0.38,0.66,0.81
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,2.21,0.20,0.38,0.66,0.92
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,3.26,0.20,0.38,0.66,0.94
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,6.18,0.20,0.38,0.66,0.95
19,ACE-PVL-co-PAVL,0.00,15000.00,0.18,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,7.17,0.20,0.38,0.66,0.95
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.00,0.14,0.30,0.57,0.00
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.19,0.14,0.30,0.57,0.05
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.46,0.14,0.30,0.57,0.28
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,0.60,0.14,0.30,0.57,0.37
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,1.44,0.14,0.30,0.57,0.76
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,2.25,0.14,0.30,0.57,0.88
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,3.36,0.14,0.30,0.57,0.91
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,5.14,0.14,0.30,0.57,0.95
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,6.00,0.14,0.30,0.57,0.97
26,ACE-PVL-co-PAVL,0.00,39000.00,0.07,170.00,9.46,1.00,0.10,2.48,0.50,151.17,49.33,3.00,1.35,7.29,0.14,0.30,0.57,0.97
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,0.00,0.04,0.08,0.12,0.00
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,0.09,0.04,0.08,0.12,0.01
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,0.13,0.04,0.08,0.12,0.03
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,0.31,0.04,0.08,0.12,0.05
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,0.97,0.04,0.08,0.12,0.12
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,1.23,0.04,0.08,0.12,0.14
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,2.02,0.04,0.08,0.12,0.19
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,3.03,0.04,0.08,0.12,0.24
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,4.00,0.04,0.08,0.12,0.32
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,6.99,0.04,0.08,0.12,0.56
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,8.00,0.04,0.08,0.12,0.70
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,8.92,0.04,0.08,0.12,0.86
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,10.02,0.04,0.08,0.12,0.96
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,13.98,0.04,0.08,0.12,1.00
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,16.00,0.04,0.08,0.12,1.00
9,CAF-PLGA,1.00,46000.00,0.00,236.00,14.00,0.11,0.06,97.09,0.00,194.19,61.82,6.00,-1.03,17.05,0.04,0.08,0.12,1.00
